TYPE ID Toffset_noisereduction
ED 967 5.504817
ED 968 -7.548934
ED 969 -1.206511
ED 970 3.708502
ED 971 5.277555
ED 972 1.677019
ED 973 12.769585
ED 974 -5.441220
ED 975 7.196889
ED 976 -15.516323
ED 977 -3.921152
ED 978 1.341927
ED 979 8.213957
ED 980 0.755392
ED 981 -1.700847
ED 982 -16.334053
ED 983 -0.733622
ED 984 -13.492607
ED 985 -12.531852
ED 986 6.814385
ED 987 -12.465302
ED 988 -7.448438
ED 989 -6.441363
ED 990 -3.368132
ED 991 -19.683411
ED 992 -14.610855
ED 993 -26.164058
ED 994 7.195226
ED 995 12.155257
ED 996 -9.590166
ED 997 -17.440490
ED 998 0.333966
ED 999 6.360986
ED 1000 -10.936522
ED 1001 -9.400144
ED 1002 -5.850430
ED 1003 12.303366
ED 1004 17.689404
ED 1005 -17.491297
ED 1006 8.930315
ED 1007 -3.556002
ED 1008 6.149619
ED 1009 -6.784660
ED 1010 10.309506
ED 1011 2.646184
ED 1012 -3.026001
ED 1013 -13.857476
ED 1014 0.150974
ED 1015 2.104091
ED 1016 -2.464769
ED 1017 -6.898275
ED 1018 -15.667733
ED 1019 4.774542
ED 1020 -2.035915
ED 1021 3.179331
ED 1023 2.657055
ED 1024 -6.259213
ED 1025 -1.332827
ED 1026 7.349850
ED 1027 8.350140
ED 1028 -5.657594
ED 1029 3.385947
ED 1030 5.502162
ED 1031 -7.725125
ED 1032 12.240574
ED 1033 0.569195
ED 1034 -2.596577
ED 1035 -2.118325
ED 1036 -1.129680
ED 1037 -7.147558
ED 1038 -9.112316
ED 1039 10.401027
ED 1040 1.522809
ED 1041 -7.385309
ED 1042 -5.751699
ED 1043 7.385341
ED 1044 1.750695
ED 1045 1.261018
ED 1046 -5.008940
ED 1047 -6.203396
ED 1048 -11.175945
ED 1049 4.949456
ED 1050 4.718882
ED 1051 -1.648959
ED 1052 -6.197033
ED 1053 7.251901
ED 1054 -10.317645
ED 1055 -18.619908
ED 1056 1.711013
ED 1057 1.312490
ED 1058 -17.084205
ED 1059 -1.771884
ED 1060 0.227059
ED 1061 1.356078
ED 1062 14.729888
ED 1063 -1.068503
ED 1064 3.812308
ED 1065 7.171286
ED 1066 -8.755504
ED 1067 -2.918511
ED 1068 -2.470649
ED 1069 15.081089
ED 1070 -2.046472
ED 1071 -4.745247
ED 1072 -7.742899
ED 1073 -0.772883
ED 1074 0.862491
ED 1075 -14.271909
ED 1076 -10.340276
ED 1077 -5.446036
ED 1078 -9.347907
ED 1079 16.984734
ED 1080 -0.919091
ED 1081 -6.354667
ED 1082 -2.710117
ED 1083 -16.012837
ED 1084 -11.494328
ED 1085 4.767253
ED 1086 -0.328114
ED 1087 -12.145021
ED 1088 4.497018
ED 1089 -34.594001
ED 1090 -1.526077
ED 1091 -14.902463
ED 1092 -0.548379
ED 1093 -0.284612
ED 1094 -4.984916
ED 1095 -9.600046
ED 1096 0.750836
ED 1097 2.008881
ED 1098 15.499715
ED 1099 7.669110
ED 1100 -2.243571
ED 1101 14.245471
ED 1102 4.696354
ED 1103 7.063542
ED 1104 0.310369
ED 1105 0.653864
ED 1106 1.791608
ED 1107 -1.962327
ED 1108 -23.559109
ED 1109 7.466087
ED 1110 -3.424585
ED 1111 -8.044689
ED 1112 14.373486
ED 1113 -0.807776
ED 1114 10.427173
ED 1115 11.502780
ED 1116 14.474155
ED 1117 -4.036121
ED 1118 11.194061
ED 1119 -6.021117
ED 1120 -4.705847
ED 1121 -9.004862
ED 1122 7.711101
ED 1123 -5.309967
ED 1124 -5.526868
ED 1125 3.807315
ED 1126 7.457307
ED 1127 -1.865408
ED 1128 0.610006
ED 1129 -5.483600
ED 1130 -10.499256
ED 1131 1.400897
ED 1132 -1.722210
ED 1133 -17.642235
ED 1134 -18.987954
ED 1135 2.437994
ED 1136 5.942898
ED 1137 2.828370
ED 1138 -8.437001
ED 1139 -9.410901
ED 1140 -0.630221
ED 1141 4.243143
ED 1142 1.846489
ED 1143 -11.959053
ED 1144 4.177627
ED 1145 -3.166301
ED 1146 -13.131391
ED 1147 5.585592
ED 1148 4.365241
ED 1149 -1.015428
ED 1150 0.584624
ED 1151 -2.938585
ED 1152 -1.411337
ED 1153 -2.884233
ED 1154 1.175074
ED 1155 3.216729
ED 1156 4.083247
ED 1157 0.589442
ED 1158 -11.019380
ED 1159 0.480851
ED 1160 12.762019
ED 1161 11.353378
ED 1162 -1.415228
ED 1163 -10.197310
ED 1164 -6.205015
ED 1165 12.965197
ED 1166 10.313703
ED 1167 6.746961
ED 1168 -7.520376
ED 1169 1.710938
ED 1170 9.879104
ED 1171 -3.303405
ED 1172 7.737484
ED 1173 -5.621485
ED 1174 5.918332
ED 1175 2.603050
ED 1176 8.345657
ED 1177 8.265546
ED 1178 11.333781
ED 1179 6.625879
ED 1180 15.502773
ED 1181 -2.521697
ED 1182 5.358499
ED 1183 6.975796
ED 1184 -7.760683
ED 1185 -0.552650
ED 1186 -13.662247
ED 1187 8.439240
ED 1188 -15.897187
ED 1189 15.762856
ED 1190 -2.755051
ED 1191 -9.815807
ED 1192 6.026120
ED 1193 9.982139
ED 1194 -5.863627
ED 1195 5.934193
ED 1196 1.057748
ED 1197 8.925392
ED 1198 -2.721134
ED 1199 -4.539101
ED 1200 -2.442195
ED 1201 -15.412649
ED 1202 -16.503845
ED 1203 -14.060353
ED 1204 -1.483548
ED 1205 2.977089
ED 1206 3.312370
ED 1207 3.295183
ED 1208 3.144644
ED 1209 -5.040809
ED 1210 -20.497130
ED 1211 1.001435
ED 1212 -1.435003
ED 1213 -5.487632
ED 1214 -0.928240
ED 1215 5.731801
ED 1216 0.483823
ED 1217 -12.892049
ED 1218 -1.278060
ED 1219 -9.904177
ED 1220 3.256836
ED 1221 7.103119
ED 1222 14.346863
ED 1223 -9.655652
ED 1224 5.033921
ED 1225 -20.666902
ED 1226 -10.308477
ED 1227 -0.490351
ED 1228 -1.508844
ED 1229 4.277125
ED 1230 3.217501
ED 1231 -21.980522
ED 1232 1.902080
ED 1233 -8.025843
ED 1234 -8.376168
ED 1235 -2.966410
ED 1236 4.729704
ED 1237 -3.756637
ED 1238 4.656375
ED 1239 5.463601
ED 1240 1.097712
ED 1241 1.873243
ED 1242 8.826757
ED 1243 -1.215262
ED 1244 -8.109313
ED 1245 -1.484660
ED 1246 4.128883
ED 1247 12.923170
ED 1248 -0.408255
ED 1249 4.894226
ED 1250 2.111507
ED 1251 -4.276425
ED 1252 -1.293014
ED 1253 3.580109
ED 1254 6.121539
